KO_Number,Function
K03543,Antimicrobial compounds resistance
K03543,Antimicrobial compounds resistance
K03088,Heat stress or shock
K04043,Heat stress or shock
K03798,Antimicrobial compounds resistance
K03088,Heat stress or shock
K18900,Antimicrobial compounds resistance
K02400,Type III secretion system
K18139,Antimicrobial compounds resistance
K04077,Heat stress or shock
K03585,Antimicrobial compounds biosynthesis
K11907,Type VI secretion system
K11904,Type VI secretion system
K12340,Antimicrobial compounds resistance
K11900,Type VI secretion system
K03088,Heat stress or shock
K11900,Type VI secretion system
K13888,Antimicrobial compounds resistance
K11904,Type VI secretion system
K11904,Type VI secretion system
K03088,Heat stress or shock
K12340,Antimicrobial compounds resistance
K11904,Type VI secretion system
K04043,Heat stress or shock
K03088,Heat stress or shock
K03799,Antimicrobial compounds resistance
K01012,Vitamin B7 biosynthesis
K04043,Heat stress or shock
K18139,Antimicrobial compounds resistance
K13924,Chemotactic behavior
K11904,Type VI secretion system
K03407,Chemotactic behavior
K04077,Heat stress or shock
K20974,Quorum sensing
K11903,Type VI secretion system
K03413,Chemotactic behavior
K04077,Heat stress or shock
K21135,Antimicrobial compounds resistance
K11904,Type VI secretion system
K03415,Chemotactic behavior
K02227,Vitamin B12 biosynthesis
K12340,Antimicrobial compounds resistance
K03088,Heat stress or shock
K18138,Antimicrobial compounds resistance
K03585,Antimicrobial compounds resistance
K03088,Heat stress or shock
K03585,Antimicrobial compounds resistance
K18900,Antimicrobial compounds resistance
K03981,Type IV secretion system
K03088,Heat stress or shock
K02225,Vitamin B12 biosynthesis
K18303,Antimicrobial compounds resistance
K12541,Motility and adhesion apparatus
K03089,Heat stress or shock
K11896,Type VI secretion system
K11914,Type VI secretion system
K11904,Type VI secretion system
K00833,Vitamin B7 biosynthesis
K11904,Type VI secretion system
K03407,Chemotactic behavior
K03585,Antimicrobial compounds resistance
K01448,Antimicrobial compounds resistance
K12973,Antimicrobial compounds resistance
K11901,Type VI secretion system
K12541,Motility and adhesion apparatus
K03089,Heat stress or shock
K11904,Type VI secretion system
K11910,Type VI secretion system
K11904,Type VI secretion system
K03088,Heat stress or shock
K00946,Vitamin B1 biosynthesis
K11354,Chemotactic behavior
K11895,Type VI secretion system
K11901,Type VI secretion system
K02658,Chemotactic behavior
K20974,Quorum sensing
K03088,Heat stress or shock
K00652,Vitamin B7 biosynthesis
K11904,Type VI secretion system
K11904,Type VI secretion system
K11354,Chemotactic behavior
K11907,Type VI secretion system
K11904,Type VI secretion system
K12071,Type IV secretion system
K11904,Type VI secretion system
K03746,Heat stress or shock
K07645,Quorum sensing
K23550,Mucin degradation
K01206,Mucin degradation
K01205,Mucin degradation
K01188,Mucin degradation
K05349,Mucin degradation
K05350,Mucin degradation
K01190,Mucin degradation
K12111,Mucin degradation
K12308,Mucin degradation
K12309,Mucin degradation
K01224,Mucin degradation
K17624,Mucin degradation
K01204,Mucin degradation
K03933,Chitin binding
K01183,Chitin binding
K13381,Chitin binding
K20547,Chitin binding
