KO,Bsal_1_15,Bsal_1_29,Bsal_2_15,Bsal_2_29,Bsal_3_15,Bsal_4_15,Bsal_4_29,
K02650,0,0,0,0,0,0,0,
K06872,0,0,0,0,0,0,0,
K00265,0,0,1,0,7,0,0,
K03744,0,0,0,0,0,0,0,
K07044,0,0,0,0,0,0,0,
K00266,0,0,0,0,0,0,0,
K01735,0,4,0,0,0,0,2,
K07665,0,0,1,0,0,0,0,
K07644,0,0,0,0,0,0,0,
K07156,2,0,0,0,0,0,0,
K05834,0,0,0,0,0,0,0,
K04093,0,0,0,0,0,0,0,
K00799,0,0,0,0,1,0,0,
K03624,0,0,0,0,0,0,0,
K00638,2,0,0,0,0,0,0,
K07090,0,0,0,0,0,0,0,
K07443,0,0,0,0,0,0,0,
K00799,0,0,0,0,0,0,0,
K03308,0,0,0,0,0,0,0,
K03500,0,0,0,0,0,0,0,
K00604,0,0,0,0,0,0,0,
K01687,0,2,1,0,2,0,0,
K07090,0,0,0,0,0,0,0,
K02660,0,0,0,0,2,0,0,
K02659,1,0,0,0,0,0,0,
K02658,0,0,1,0,0,0,0,
K02657,0,0,7,0,0,0,0,
K03296,0,0,0,0,2,0,0,
K01881,0,2,0,0,2,0,0,
K03544,0,0,0,0,0,0,0,
K01358,0,0,0,0,1,0,0,
K03545,0,0,0,0,2,0,0,
K16090,0,0,0,0,0,0,0,
K07336,0,0,0,0,0,0,0,
K01649,0,1,2,2,8,6,0,
K00641,2,0,0,0,2,0,0,
K07126,2,0,4,0,0,0,0,
K01519,0,0,0,0,0,0,0,
K15727,0,0,0,0,0,0,0,
K15726,0,0,0,0,0,0,0,
K16264,0,0,2,0,0,0,0,
K04565,0,0,0,0,0,0,0,
K16235,0,0,0,0,0,0,0,
K00261,0,4,0,0,2,0,0,
K00673,0,0,0,0,2,0,0,
K06447,0,0,0,0,0,0,0,
K01484,0,0,0,2,0,0,0,
K05526,0,0,1,0,0,0,0,
K21645,0,0,0,0,0,0,0,
K01779,0,0,0,0,0,0,0,
K07661,3,6,3,0,2,1,0,
K07639,0,0,0,0,1,0,0,
K00330,0,0,0,0,0,0,0,
K00331,2,0,1,0,0,0,0,
K13378,0,2,0,0,2,1,2,
K00334,0,0,0,0,0,0,0,
K00335,0,0,0,0,2,0,0,
