SampleID,Contents,Day,Temperature,Replicate
ET10,Bsal_Synth,0,29,5
ET100,Bd_Synth,18,25,4
ET101,Synth,18,25,1
ET102,Bd_Synth,0,29,5
ET103,Bsal_Synth,18,25,1
ET104,Bsal_Synth,18,25,2
ET105,Bsal_Synth,18,25,3
ET106,Bsal_Synth,18,25,4
ET107,Bsal_Synth,18,25,5
ET108,Synth,18,25,2
ET109,Synth,18,25,3
ET11,Synth,0,29,1
ET110,Bd,,25,
ET111,Bsal,,25,
ET112,Media,,25,
ET113,Bd_Synth,0,20,1
ET114,Bd_Synth,0,20,2
ET115,Bd_Synth,0,20,3
ET116,Bd_Synth,0,20,4
ET117,Bd_Synth,0,20,5
ET118,Bsal_Synth,0,20,1
ET119,Bsal_Synth,0,20,2
ET12,Synth,0,29,2
ET120,Bsal_Synth,0,20,3
ET121,Bsal_Synth,0,20,4
ET122,Bsal_Synth,0,20,5
ET123,Synth,0,20,1
ET124,Synth,0,20,2
ET125,Synth,0,20,3
ET126,Bd_Synth,6,20,1
ET127,Bd_Synth,6,20,2
ET128,Bd_Synth,6,20,3
ET129,Bd_Synth,6,20,4
ET13,Synth,0,20,3
ET130,Bd_Synth,6,20,5
ET131,Bsal_Synth,6,20,1
ET132,Bsal_Synth,6,20,2
ET133,Bsal_Synth,6,20,3
ET134,Bsal_Synth,6,20,4
ET135,Bsal_Synth,6,20,5
ET136,Synth,6,20,1
ET137,Synth,6,20,2
ET138,Synth,6,20,3
ET139,Bd_Synth,12,20,1
ET14,Bd,6,29,1
ET140,Bd_Synth,12,20,2
ET141,Bd_Synth,12,20,3
ET142,Bd_Synth,12,20,4
ET143,Bd_Synth,12,20,5
ET144,Bsal_Synth,12,20,1
ET145,Bsal_Synth,12,20,2
ET146,Bsal_Synth,12,20,3
ET147,Bsal_Synth,12,20,4
ET148,Bsal_Synth,12,20,5
ET149,Synth,12,20,1
ET15,Bd_Synth,6,29,2
ET150,Synth,12,20,2
ET151,Synth,12,20,3
ET152,Bd_Synth,18,20,1
ET153,Bd_Synth,18,20,2
ET154,Bd_Synth,18,20,3
ET155,Bd_Synth,18,20,4
ET156,Bd_Synth,18,20,5
ET157,Bsal_Synth,18,20,1
ET158,Bsal_Synth,18,20,2
ET159,Bsal_Synth,18,20,3
ET16,Bd_Synth,6,29,3
ET160,Bsal_Synth,18,20,4
ET161,Bsal_Synth,18,20,5
ET162,Synth,18,20,1
ET163,Synth,18,20,2
ET164,Synth,18,20,3
ET165,Bd,,20,
ET166,Bsal,,20,
ET167,Media,,20,
ET168,Bd_Synth,0,18,1
ET169,Bd_Synth,0,18,2
ET17,Bd_Synth,6,29,4
ET170,Bd_Synth,0,18,3
ET171,Bd_Synth,0,18,4
ET172,Bd_Synth,0,18,5
ET173,Bsal_Synth,0,18,1
ET174,Bsal_Synth,0,18,2
ET175,Bsal_Synth,0,18,3
ET176,Bsal_Synth,0,18,4
ET177,Bsal_Synth,0,18,5
ET178,Synth,0,18,1
ET179,Synth,0,18,2
ET180,Synth,0,18,3
ET181,Bd_Synth,12,18,1
ET182,Bd_Synth,12,18,2
ET183,Bd_Synth,12,18,3
ET184,Bd_Synth,12,18,4
ET185,Bd_Synth,12,18,5
ET186,Bsal_Synth,12,18,1
ET187,Bsal_Synth,12,18,2
ET188,Bsal_Synth,12,18,3
ET189,Bsal_Synth,12,18,4
ET18,Bd_Synth,6,29,5
ET190,Bsal_Synth,12,18,5
ET192,Ext_Cntrl,,,
ET193,Bd_Synth,18,18,1
ET194,Bd_Synth,18,18,2
ET195,Bd_Synth,18,18,3
ET196,Bd_Synth,18,18,4
ET197,Bd_Synth,18,18,5
ET198,Bsal_Synth,18,18,1
ET199,Bsal_Synth,18,18,2
ET19,Bsal_Synth,6,29,1
ET1,Bd_Synth,0,29,1
ET200,Bsal_Synth,18,18,3
ET201,Bsal_Synth,18,18,4
ET202,Bsal_Synth,18,18,5
ET203,Synth,18,18,1
ET204,Synth,18,18,2
ET205,Synth,18,18,3
ET206,Bd,,18,
ET207,Bsal,,18,
ET208,Media,,18,
ET209,Bd_Synth,0,15,1
ET20,Bsal_Synth,6,29,2
ET210,Bd_Synth,0,15,2
ET211,Bd_Synth,0,15,3
ET212,Bd_Synth,0,15,4
ET213,Bd_Synth,0,15,5
ET214,Bsal_Synth,0,15,1
ET215,Bsal_Synth,0,15,2
ET216,Bsal_Synth,0,15,3
ET217,Bsal_Synth,0,15,4
ET218,Bsal_Synth,0,15,5
ET219,Synth,0,15,1
ET21,Bsal_Synth,6,29,3
ET220,Synth,0,15,2
ET221,Synth,0,15,3
ET222,Bd_Synth,6,15,1
ET223,Bd_Synth,6,15,2
ET224,Bd_Synth,6,15,3
ET225,Bd_Synth,6,15,4
ET226,Bd_Synth,6,15,5
ET227,Bsal_Synth,6,15,1
ET228,Bsal_Synth,6,15,2
