Contents,Replicate,Temperature,Day,ZGE,Well_Number_PCR,Plate,Category,logZGE
Bd_Synth,1,29,0,150724.0654,B1,1,150724.0654,11.9232060626417
Bd_Synth,1,29,0,0,B2,1,0,0
Bd_Synth,2,29,0,6400408.217,B3,1,6400408.217,15.671872330202
Bd_Synth,2,29,0,7380330.482,B4,1,7380330.482,15.8143289763328
Bd_Synth,3,29,0,14026731.62,B5,1,14026731.62,16.4564754684183
Bd_Synth,3,29,0,11249315.84,B6,1,11249315.84,16.2358178705432
Bd_Synth,4,29,0,12447021.38,B7,1,12447021.38,16.3369919056646
Bd_Synth,4,29,0,12671430.43,B8,1,12671430.43,16.3548604448987
Bd_Synth,5,29,0,16793836.28,B9,1,16793836.28,16.6365224889583
Bd_Synth,5,29,0,18802301.98,B10,1,18802301.98,16.749489866049
Bd_Synth,1,29,6,15931553.82,C5,1,15931553.82,16.5838122176191
Bd_Synth,1,29,6,24567477.1,C6,1,24567477.1,17.0169340570925
Bd_Synth,2,29,6,20065045.22,C7,1,20065045.22,16.8144898153562
Bd_Synth,2,29,6,20531312.69,C8,1,20531312.69,16.8374617270387
Bd_Synth,3,29,6,0,C9,1,0,0
Bd_Synth,3,29,6,14310313.91,C10,1,14310313.91,16.4764910877001
Bd_Synth,4,29,6,23367026.7,C11,1,23367026.7,16.9668364712066
Bd_Synth,4,29,6,9056571.148,C12,1,9056571.148,16.0190011458993
Bd_Synth,5,29,6,7914309.648,D1,1,7914309.648,15.8841830267731
Bd_Synth,5,29,6,0,D2,1,0,0
Bd_Synth,1,29,12,3518510.204,D9,1,3518510.204,15.073548220484
Bd_Synth,1,29,12,4000213.152,D10,1,4000213.152,15.2018582056644
Bd_Synth,2,29,12,2758945.814,D11,1,2758945.814,14.830359213282
Bd_Synth,2,29,12,0,D12,1,0,0
Bd_Synth,3,29,12,2703333.394,E1,1,2703333.394,14.8099961598649
Bd_Synth,3,29,12,0,E2,1,0,0
Bd_Synth,4,29,12,2690522.919,E3,1,2690522.919,14.8052461263663
Bd_Synth,4,29,12,3662187.858,E4,1,3662187.858,15.1135713021908
Bd_Synth,5,29,12,1481137.368,E5,1,1481137.368,14.2083208424935
Bd_Synth,5,29,12,0,E6,1,0,0
Bd_Synth,1,29,18,120730.8193,F1,1,120730.8193,11.7013187125206
Bd_Synth,1,29,18,153967.7366,F2,1,153967.7366,11.9444983568496
Bd_Synth,2,29,18,98136.03028,F3,1,98136.03028,11.4941098592639
Bd_Synth,2,29,18,145857.9498,F4,1,145857.9498,11.8903884804954
Bd_Synth,3,29,18,67410.15332,F5,1,67410.15332,11.1185509282849
Bd_Synth,3,29,18,77405.06758,F6,1,77405.06758,11.2568075300444
Bd_Synth,4,29,18,69569.73264,F7,1,69569.73264,11.1500848758745
Bd_Synth,4,29,18,139832.3222,F8,1,139832.3222,11.8481992852059
Bd_Synth,5,29,18,154382.7518,F9,1,154382.7518,11.9471901991928
Bd_Synth,5,29,18,65062.29935,F10,1,65062.29935,11.0831005413948
Bd_Synth,1,25,0,252685.5138,G5,1,252685.5138,12.4399009660505
Bd_Synth,1,25,0,277565.9863,G6,1,277565.9863,12.5338139723699
Bd_Synth,2,25,0,5701625.905,G7,1,5701625.905,15.556261938621
Bd_Synth,2,25,0,7115551.287,G8,1,7115551.287,15.7777932688657
Bd_Synth,3,25,0,38146994.12,G11,1,38146994.12,17.4569575215027
Bd_Synth,3,25,0,0,G12,1,0,0
Bd_Synth,4,25,0,9415593.193,H1,1,9415593.193,16.0578777231869
Bd_Synth,4,25,0,6421873.017,H2,1,6421873.017,15.6752203803125
Bd_Synth,5,25,0,32388830.05,H3,1,32388830.05,17.2933241697789
Bd_Synth,5,25,0,17320417.35,H4,1,17320417.35,16.6673965572286
Bd_Synth,1,25,6,283359.4007,B3,2,283359.4007,12.554471338037
Bd_Synth,1,25,6,281186.8728,B4,2,281186.8728,12.5467747550409
Bd_Synth,2,25,6,280288.0092,B5,2,280288.0092,12.5435729577862
Bd_Synth,2,25,6,280630.6357,B6,2,280630.6357,12.5447946199496
Bd_Synth,3,25,6,283624.7572,B7,2,283624.7572,12.5554073660218
Bd_Synth,3,25,6,280168.4978,B8,2,280168.4978,12.5431464790128
Bd_Synth,4,25,6,281336.9502,B9,2,281336.9502,12.5473083409885
Bd_Synth,4,25,6,277845.6562,B10,2,277845.6562,12.5348210449706
Bd_Synth,5,25,6,282004.9397,B11,2,282004.9397,12.5496798664335
Bd_Synth,5,25,6,282486.9675,B12,2,282486.9675,12.5513876957611
Bd_Synth,1,25,12,297742.4464,C7,2,297742.4464,12.6039841179621
Bd_Synth,1,25,12,305411.0196,C8,2,305411.0196,12.6294137536304
Bd_Synth,2,25,12,301869.9838,C9,2,301869.9838,12.6177516864393
Bd_Synth,2,25,12,304291.0023,C10,2,304291.0023,12.62573976693
Bd_Synth,3,25,12,303073.8053,C11,2,303073.8053,12.6217316366784
Bd_Synth,3,25,12,303778.2452,C12,2,303778.2452,12.6240532576265
Bd_Synth,4,25,12,304724.0332,D1,2,304724.0332,12.6271618368223
Bd_Synth,4,25,12,299990.4502,D2,2,299990.4502,12.611505920465
Bd_Synth,5,25,12,48636097.68,D3,2,48636097.68,17.6998765637853
Bd_Synth,5,25,12,0,D4,2,0,0
Bd_Synth,1,25,18,0,D11,2,0,0
Bd_Synth,1,25,18,329620.5481,D12,2,329620.5481,12.7056974176106
Bd_Synth,2,25,18,325335.0208,E1,2,325335.0208,12.6926107635989
Bd_Synth,2,25,18,324084.7422,E2,2,324084.7422,12.6887603105762
Bd_Synth,3,25,18,347089.9152,E3,2,347089.9152,12.7573391469766
Bd_Synth,3,25,18,337813.5177,E4,2,337813.5177,12.7302492994291
Bd_Synth,4,25,18,327859.2624,E5,2,327859.2624,12.7003397172372
Bd_Synth,4,25,18,326132.2216,E6,2,326132.2216,12.6950581658504
Bd_Synth,5,25,18,0,E7,2,0,0
Bd_Synth,5,25,18,0,E8,2,0,0
Bd_Synth,1,20,0,297535.3104,F3,2,297535.3104,12.6032881873448
Bd_Synth,1,20,0,280881.1759,F4,2,280881.1759,12.5456869973189
Bd_Synth,2,20,0,0,F5,2,0,0
Bd_Synth,2,20,0,290397.5275,F6,2,290397.5275,12.5790060477781
Bd_Synth,3,20,0,279429.4243,F7,2,279429.4243,12.5405050327153
Bd_Synth,3,20,0,279002.7413,F8,2,279002.7413,12.5389768862033
Bd_Synth,4,20,0,285309.0947,F9,2,285309.0947,12.5613284143661
Bd_Synth,4,20,0,285683.5964,F10,2,285683.5964,12.5626401710998
Bd_Synth,5,20,0,280160.5343,F11,2,280160.5343,12.5431180546424
Bd_Synth,5,20,0,283118.4222,F12,2,283118.4222,12.5536205421019
Bd_Synth,1,20,6,285990.2125,G7,2,285990.2125,12.5637128671884
Bd_Synth,1,20,6,281245.1774,G8,2,281245.1774,12.5469820853315
Bd_Synth,2,20,6,286179.5527,G9,2,286179.5527,12.5643746994572
Bd_Synth,2,20,6,276845.1473,G10,2,276845.1473,12.5312135938331
Bd_Synth,3,20,6,280465.6078,G11,2,280465.6078,12.5442063860889
Bd_Synth,3,20,6,275008.6806,G12,2,275008.6806,12.5245579419687
Bd_Synth,4,20,6,285311.714,H1,2,285311.714,12.5613375948936
Bd_Synth,4,20,6,281227.6721,H2,2,281227.6721,12.5469198412605
Bd_Synth,5,20,6,281052.3872,H3,2,281052.3872,12.5462963622565
Bd_Synth,5,20,6,278528.9358,H4,2,278528.9358,12.5372772316956
Bd_Synth,1,20,12,841173,B1,3,841173,13.6425526252913
Bd_Synth,2,20,12,2795821,B2,3,2795821,14.8436363602579
Bd_Synth,3,20,12,2400343,B3,3,2400343,14.6911222017732
Bd_Synth,4,20,12,659131,B4,3,659131,13.3986775797688
Bd_Synth,5,20,12,705671,B5,3,705671,13.4669044021953
Bd_Synth,1,20,18,132917,B9,3,132917,11.7974801522469
Bd_Synth,2,20,18,34261,B10,3,34261,10.4417629600102
Bd_Synth,3,20,18,197191,B11,3,197191,12.191928081164
Bd_Synth,4,20,18,122351,B12,3,122351,11.7146492421108
Bd_Synth,5,20,18,126730,C1,3,126730,11.7498141180761
Bd_Synth,1,18,0,40520980,C5,3,40520980,17.5173304226397
Bd_Synth,2,18,0,26250787,C6,3,26250787,17.0832065275049
Bd_Synth,3,18,0,35423995.05,C7,3,35423995.05,17.3828999747547
Bd_Synth,4,18,0,24137838,C8,3,24137838,16.9992912087281
Bd_Synth,5,18,0,20827313,C9,3,20827313,16.8517758082769
Bd_Synth,1,18,6,6608923,D1,3,6608923,15.7039312636055
Bd_Synth,2,18,6,6987653,D2,3,6987653,15.7596552924491
Bd_Synth,3,18,6,5874879,D3,3,5874879,15.5861960220377
Bd_Synth,4,18,6,12533733,D4,3,12533733,16.3439342074815
