Contents,Replicate,Temperature,Day,ZGE,Well_Number_PCR,Plate,Category,logZGE
Bsal_Synth,1,29,0,5816164,B1,1,5816164,15.5761514958722
Bsal_Synth,2,29,0,6989377,B2,1,6989377,15.7599019829132
Bsal_Synth,3,29,0,5070477,B3,1,5070477,15.4389454539821
Bsal_Synth,4,29,0,7463876,B4,1,7463876,15.8255854082952
Bsal_Synth,5,29,0,2874740,B5,1,2874740,14.8714727933415
Bsal_Synth,1,29,6,130939000,B9,1,130939000,18.6902421238624
Bsal_Synth,2,29,6,3596321,B10,1,3596321,15.0954219364406
Bsal_Synth,3,29,6,3725898,B11,1,3725898,15.1308184545677
Bsal_Synth,4,29,6,4548435,B12,1,4548435,15.3302937757167
Bsal_Synth,5,29,6,3871607,C1,1,3871607,15.1691802242935
Bsal_Synth,1,29,12,1632395,C5,1,1632395,14.3055588195343
Bsal_Synth,2,29,12,194083,C6,1,194083,12.1760411816017
Bsal_Synth,3,29,12,283172,C7,1,283172,12.5538097658572
Bsal_Synth,4,29,12,783101,C8,1,783101,13.5710169577143
Bsal_Synth,5,29,12,437516,C9,1,437516,12.9888685555397
Bsal_Synth,1,29,18,31946,D1,1,31946,10.3718022563499
Bsal_Synth,2,29,18,0,D2,1,0,0
Bsal_Synth,3,29,18,70438,D3,1,70438,11.1624881692485
Bsal_Synth,4,29,18,0,D4,1,0,0
Bsal_Synth,5,29,18,8579,D5,1,8579,9.05707263557296
Bsal_Synth,1,25,0,8741698,D9,1,8741698,15.9836150079382
Bsal_Synth,2,25,0,11208410,D10,1,11208410,16.2321749473435
Bsal_Synth,3,25,0,4691179,D11,1,4691179,15.3611944947578
Bsal_Synth,4,25,0,20137766,D12,1,20137766,16.818107515567
Bsal_Synth,5,25,0,2770230,E1,1,2770230,14.8344409072075
Bsal_Synth,1,25,6,11242714,E5,1,11242714,16.235230832358
Bsal_Synth,2,25,6,6735818,E6,1,6735818,15.7229498155369
Bsal_Synth,3,25,6,5183280,E7,1,5183280,15.4609486184794
Bsal_Synth,4,25,6,9553909,E8,1,9553909,16.0724609480803
Bsal_Synth,5,25,6,8025352,E9,1,8025352,15.8981160889468
Bsal_Synth,1,25,12,1555911,F1,1,1555911,14.2575717841412
Bsal_Synth,2,25,12,609526,F2,1,609526,13.32043688491
Bsal_Synth,3,25,12,588128,F3,1,588128,13.2846998902652
Bsal_Synth,4,25,12,635041,F4,1,635041,13.3614448427196
Bsal_Synth,5,25,12,3109518.605,F5,1,3109518.605,14.9499784827852
Bsal_Synth,1,25,18,3968573.916,F9,1,3968573.916,15.1939173730168
Bsal_Synth,2,25,18,86787,F10,1,86787,11.3712121198466
Bsal_Synth,3,25,18,0,F11,1,0,0
Bsal_Synth,4,25,18,0,F12,1,0,0
Bsal_Synth,5,25,18,0,G1,1,0,0
Bsal_Synth,1,20,0,13379519,G5,1,13379519,16.4092356628403
Bsal_Synth,2,20,0,6152622,G6,1,6152622,15.6323888903884
Bsal_Synth,3,20,0,2994981,G7,1,2994981,14.9124484456051
Bsal_Synth,4,20,0,9152495,G8,1,9152495,16.0295370776776
Bsal_Synth,5,20,0,8528805,G9,1,8528805,15.9589598158672
Bsal_Synth,1,20,6,10519378,H1,1,10519378,16.1687296380506
Bsal_Synth,2,20,6,6781181,H2,1,6781181,15.729661833538
Bsal_Synth,3,20,6,7314422,H3,1,7314422,15.8053585735933
Bsal_Synth,4,20,6,8793302,H4,1,8793302,15.9895008532734
Bsal_Synth,5,20,6,6570694,H5,1,6570694,15.6981300165412
Bsal_Synth,1,20,12,639878,H9,1,639878,13.3690328121646
Bsal_Synth,2,20,12,399539,H10,1,399539,12.8980666614513
Bsal_Synth,3,20,12,26964,B1,2,26964,10.2022579219733
Bsal_Synth,4,20,12,797066,B2,2,797066,13.5886927648833
Bsal_Synth,5,20,12,1710761,B3,2,1710761,14.3524488587225
Bsal_Synth,1,20,18,40130,B7,2,40130,10.599879463261
Bsal_Synth,2,20,18,60861,B8,2,60861,11.0163478544694
Bsal_Synth,3,20,18,3758635.037,B9,2,3758635.037,15.1395664273831
Bsal_Synth,4,20,18,9288,B10,2,9288,9.13647852337773
Bsal_Synth,5,20,18,172770,B11,2,172770,12.0597165091688
Bsal_Synth,1,18,0,9295055,C3,2,9295055,16.0449930962799
Bsal_Synth,2,18,0,7535819,C4,2,7535819,15.8351780769032
Bsal_Synth,3,18,0,5634973,C5,2,5634973,15.5445029139627
Bsal_Synth,4,18,0,3417814,C6,2,3417814,15.0445117233888
Bsal_Synth,5,18,0,2880061,C7,2,2880061,14.8733220324434
Bsal_Synth,1,18,6,31763180,C11,2,31763180,17.2738183152755
Bsal_Synth,2,18,6,6547761,C12,2,6547761,15.6946337171125
Bsal_Synth,3,18,6,10000988,D1,2,10000988,16.1181944460779
Bsal_Synth,4,18,6,16390506,D2,2,16390506,16.6122128227267
Bsal_Synth,5,18,6,5899529,D3,2,5899529,15.5903830751808
Bsal_Synth,1,18,12,2266871,D7,2,2266871,14.633911024474
Bsal_Synth,2,18,12,469924,D8,2,469924,13.0603262584834
Bsal_Synth,3,18,12,2380672,D9,2,2380672,14.6828933587347
Bsal_Synth,4,18,12,758727,D10,2,758727,13.5393973078816
Bsal_Synth,5,18,12,624048,D11,2,624048,13.3439825674701
Bsal_Synth,1,18,18,13636,E3,2,13636,9.52046863325779
Bsal_Synth,2,18,18,3951632.985,E4,2,3951632.985,15.1896394653694
Bsal_Synth,3,18,18,3745339.623,E5,2,3745339.623,15.136022857871
Bsal_Synth,4,18,18,18941,E6,2,18941,9.84908416365674
Bsal_Synth,5,18,18,53651,E7,2,53651,10.8902553872141
