KO Number,Main_Function,Function,Sub_Function,Name 
K18954,Genetic information processing,Genetic information processing,Transcription factors,"pobR; AraC family transcriptional regulator, transcriptional activator of pobA"
K17686,Environmental information Processing,Signal transduction,MAPK signaling pathway,"copA, ctpA, ATP7; P-type Cu+ transporter [EC:7.2.2.8]"
K15125,Human disease,Infectious disease: bacterial ,Pertussis,fhaB; filamentous hemagglutinin
K14441,Genetic information processing,Genetic information processing,Ribosome biogensis,rimO; ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]
K14260,Metabolism ,Amino acid metabolism,"Alanine, aspartate and glutamate metabolism",alaA; alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]
K11904,Membrane transport,Membrane transport,secretion system,vgrG; type VI secretion system secreted protein VgrG
K11381,Metabolism,Carbohydrate metabolism,Propanoate metabolism,bkdA; 2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]
K09945,Unknown,Unknown,Unknown,K09945; uncharacterized protein
K09710,Genetic information processing,Genetic information processing,Ribosome biogensis,ybeB; ribosome-associated protein
K07516,Metabolism,Carbohydrate metabolism,Butanoate metabolism,fadN; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K07052,Metabolism,Metabolism,Peptidases and inhibitors,K07052; CAAX protease family protein
K06894,Metabolism,Metabolism,Peptidases and inhibitors,yfhM; alpha-2-macroglobulin
K06881,Metabolism,Energy metabolism,Sulfur metabolism,nrnA; bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]
K05986,Genetic information processing,Genetic information processing,DNA repair and recombination proteins,NUCS; nuclease S1 [EC:3.1.30.1]
K04487,Metabolism,Metabolism of cofactors and vitamins,Thiamine metabolism ,"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"
K04079,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum,"HSP90A, htpG; molecular chaperone HtpG"
K04078,Metabolism,Metabolism,Chaperones and folding catalysts,"groES, HSPE1; chaperonin GroES"
K04043,Genetic Information Processing,"Folding, sorting and degradation",RNA degradation,"dnaK, HSPA9; molecular chaperone DnaK"
K03918,Metabolism,Metabolism,Amino acid related enzymes,lat; L-lysine 6-transaminase [EC:2.6.1.36]
K03832,Signaling and cellular processes,Signaling and cellular processes,Transporters,tonB; periplasmic protein TonB
K03798,Metabolism,Metabolism,Peptidases and inhibitors,"ftsH, hflB; cell division protease FtsH [EC:3.4.24.-]"
K03781,Metabolism,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism,"katE, CAT, catB, srpA; catalase [EC:1.11.1.6]"
K03704,Transcription,Unknown,Unknown,cspA; cold shock protein
K03695,Genetic Information Processing,Genetic Information Processing,Chaperones and folding catalysts,clpB; ATP-dependent Clp protease ATP-binding subunit ClpB
K03687,Genetic Information Processing,Genetic Information Processing,Chaperones and folding catalysts,GRPE; molecular chaperone GrpE
K03686,Genetic Information Processing,Genetic Information Processing,Chaperones and folding catalysts,dnaJ; molecular chaperone DnaJ
K03628,Genetic Information Processing,"Folding, sorting and degradation",RNA degradation,rho; transcription termination factor Rho
K03543,Signaling and cellular processes,Signaling and cellular processes,Transporters,"emrA; membrane fusion protein, multidrug efflux system"
K03496,Genetic Information Processing,Genetic Information Processing,Chromosome and associated proteins,"parA, soj; chromosome partitioning protein"
K03415,Environmental Information Processing,Signal transduction,Two-component system,"cheV; two-component system, chemotaxis family, chemotaxis protein CheV"
K03386,Cellular Processes,Cell growth and death,Apoptosis,"PRDX2_4, ahpC; peroxiredoxin 2/4 [EC:1.11.1.24]"
