Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
9549f9fbbc887f950b60598e681a36a7,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,,0.9962457623
bbf13d2d366b481e85a5f0cfe72b7785,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,0.9026922498
3e58000c0604eb15b83aa718d3a6b217,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,,,0.9864441017
2c40bac7c2414d3191d998e530c4dbdd,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,,,0.7892024718
dcdbb57b64c9c4acbc61e0e4b715d3fa,Bacteria,,,,,,,0.9984568072
2045d6cd950cf77dbe210338c4283595,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,,,0.9702387486
56048441458d71eebf7d299a4b126a24,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,0.9998458721
0bd5f85deaf7c59e626ad881e7a0bdc5,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,0.9999423458
92190c70624adc1303701b5b1770d39e,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,,,0.9987574154
c2db20a5c7e251736f1aa18ba693b006,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,,,0.9909816424
dd55e114b9194054e8e8053c1183d808,Bacteria,Bacteroidota,Bacteroidia,,,,,0.9845395481
5a8afe9b6b394720b78d1a4318fb58d4,Bacteria,Bacteroidota,Bacteroidia,,,,,0.9944998305
81f8134ad67294ddb609c224edd0b0ac,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,uncultured,uncultured,,0.8348578164
62875711768685ff5ba100d79f67f757,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,,0.7933572205
c536311ec28410299d0f9c3c233c3b32,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,0.9786929347
2c5c815c80567e03310df42dcab3d0d7,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,0.9901794453
37fe5404f99059981b5ee97e38c24f8b,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,0.9969193742
410252b3dc4c9f279209eb9fbcc499d1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,0.9998371625
c8aff71d9aae53567a75d15ada974fec,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,0.850026585
a1b22d684379d81ae50e717cdd4ebdb9,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,0.8649684389
eb293072ac7ccc04ff98ac539436dab1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,0.7460342115
a93c3396f15aa6b2dd8e774b674c87c6,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,0.9743499448
1f0a91736e3d7d5f2404fda061ea511a,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,0.7787644424
