Temperature,Day,Mean,STERR
29,0,32.9804888,72.0009457
29,0,85.3418154,5.39516542
29,0,54.6871258,29.4131685
29,0,97.1086787,5.42117724
29,0,94.3758115,2.30217447
29,18,92.2163372,3.63637841
29,18,82.7698125,0.62518189
29,18,91.8392795,1.55840454
29,18,81.3629618,5.93534958
29,18,105.492286,11.2072163
25,0,47.2257684,59.4321867
25,0,68.4163009,3.78400393
25,0,93.576849,4.73639278
25,0,58.2508239,11.7977177
25,0,14.5966652,29.8346052
25,18,72.9742308,3.91062037
25,18,95.9800735,4.0199265
25,18,87.2127822,6.54472551
25,18,86.6517665,3.75452049
25,18,69.2680506,12.6877493
20,0,71.64,0.76637742
20,0,85.7278937,14.2721063
20,0,100,0
20,0,100,0
20,0,100,0
20,18,22.7540202,71.5021791
20,18,71.7576972,7.06817966
20,18,28.5046603,22.5018451
20,18,5.80888977,20.1359857
20,18,60.2891138,13.5167936
18,0,32.9343786,25.1618641
18,0,105.740545,8.43005918
18,0,85.6904295,6.17150489
18,18,80.0192138,7.10859034
18,18,98.30547,27.9622858
18,18,87.5821183,34.365084
18,18,-42.431943,49.0814619
18,18,65.4826007,10.8941735
15,0,54.7578001,25.2332637
15,0,98.3742404,19.3221375
15,0,84.3608091,28.4801336
15,0,90.0959671,33.8078753
15,0,107.965635,44.7710631
15,18,70.2229965,9.58625978
15,18,76.4805664,7.6748037
15,18,99.1539607,6.42315536
15,18,45.7707764,41.2106542
15,18,31.4540371,40.747996
