Temperature ,Day,Mean,STERR
29,0,83.7237822,16.2801957
29,0,87.6991836,4.80200303
29,0,72.2835229,17.3864423
29,0,113.327226,34.0651021
29,0,81.4258581,11.469399
29,18,85.9181849,9.50955339
29,18,81.0130568,27.350548
29,18,53.471835,25.5377179
29,18,13.9299284,18.8293941
29,18,32.1957279,31.6166799
25,0,21.9631397,16.3088984
25,0,43.3349039,1.14635208
25,0,79.9265182,7.19565786
25,0,71.6817479,19.9164383
25,0,41.0549338,12.0026894
25,18,45.9401871,4.43556747
25,18,-22.015851,9.40613456
25,18,11.7680247,16.8586179
25,18,11.0168562,5.52051303
25,18,-10.613959,44.5206846
20,0,97.3967768,1.08070732
20,0,109.281937,11.1067761
20,0,-21.204246,57.4795089
20,0,95.7061471,5.72598251
20,0,93.9525832,1.67047483
20,18,93.2716374,0.92125586
20,18,97.0629936,1.34029498
20,18,37.5408703,0.05393876
20,18,74.6287879,33.5026876
20,18,103.382657,6.57093578
18,0,55.4032351,12.3580538
18,0,44.8520919,8.31432333
18,0,45.2112301,6.89555379
18,0,24.9383795,16.2919185
18,0,46.5478724,6.40814684
18,18,78.0903446,11.2181339
18,18,79.2704561,2.43417333
18,18,86.2619779,3.63736998
18,18,80.216983,4.89704972
18,18,84.98346,3.03277686
15,0,69.2795235,6.6611195
15,0,66.5925003,5.72043399
15,0,74.7967852,4.91871845
15,0,64.3147275,2.80766835
15,0,58.7593376,1.17923857
15,18,90.848917,0.43331687
15,18,89.9053299,0.38912995
15,18,9.53331278,23.3770284
15,18,106.087439,6.08743905
15,18,-8.622885,16.4191063
