Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
9549f9fbbc887f950b60598e681a36a7,Bacteria,,,,,,,0.9786373861
bbf13d2d366b481e85a5f0cfe72b7785,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium sp000938735,0.9654969735
3e58000c0604eb15b83aa718d3a6b217,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,,,,0.9945927591
2c40bac7c2414d3191d998e530c4dbdd,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,0.9434383624
dcdbb57b64c9c4acbc61e0e4b715d3fa,Bacteria,Pseudomonadota,Gammaproteobacteria,,,,,0.9945472264
2045d6cd950cf77dbe210338c4283595,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,,,0.9960170238
56048441458d71eebf7d299a4b126a24,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp020991455,0.8703892448
0bd5f85deaf7c59e626ad881e7a0bdc5,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium macrobrachii,0.735918803
92190c70624adc1303701b5b1770d39e,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,,,0.9981007294
c2db20a5c7e251736f1aa18ba693b006,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,,,0.9603316886
dd55e114b9194054e8e8053c1183d808,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,,0.8889816146
5a8afe9b6b394720b78d1a4318fb58d4,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,,0.9137176068
81f8134ad67294ddb609c224edd0b0ac,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,JADIYW01,JADJSS01,JADJSS01 sp016721245,0.9313559944
62875711768685ff5ba100d79f67f757,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,,0.9771111863
c536311ec28410299d0f9c3c233c3b32,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium sp000938735,0.965724428
2c5c815c80567e03310df42dcab3d0d7,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium sp000938735,0.965854497
37fe5404f99059981b5ee97e38c24f8b,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium sp000938735,0.9665751108
410252b3dc4c9f279209eb9fbcc499d1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium sp000938735,0.9680273708
c8aff71d9aae53567a75d15ada974fec,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium sp000938735,0.9537924936
a1b22d684379d81ae50e717cdd4ebdb9,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium sp000938735,0.963892817
eb293072ac7ccc04ff98ac539436dab1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium sp000938735,0.9464267016
a93c3396f15aa6b2dd8e774b674c87c6,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium sp000938735,0.9660927794
1f0a91736e3d7d5f2404fda061ea511a,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium sp000938735,0.9463092453
44411de4dbb43c64d6f935967684e2ad,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium sp000938735,0.9342755853
69b3d951d606c228d5e79a225b9fa6d9,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,,0.8152094983
da47f46b981ef907a74832cb34898160,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,0.7546807243
d8459b85eae93c8be563f0440fc898bf,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium sp000938735,0.9727720611
8dfa99460273ec43fabb1f32de7578f0,Bacteria,Patescibacteria,Paceibacteria,UBA9973,,,,0.9053450315
8cbfc1117a871f68c3927312cd52f60c,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium multivorum,0.8548752728
d6912090090d412066f7d3b36de77317,Bacteria,,,,,,,0.9999949332
79ef488e453c479cff516710edfd4fce,Bacteria,,,,,,,0.9999994041
bfc3892be49aa83b62a66da09fdb03b5,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,,,0.9555368393
d80309562c36929783c3319165558304,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,,,0.9521924482
6f7fcb61b66f16fb7604d9d9c779440c,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Rhodococcus,Rhodococcus erythropolis,0.8842635249
e724c6ba72885bf62a174c97a3117f73,Bacteria,Pseudomonadota,Gammaproteobacteria,,,,,0.8706347377
9fdeb5c866a9d8201a0ade666d18b78b,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter nimipressuralis,0.7970219885
a6d7081384b742b067aa6f0e0df117ec,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,,,,0.7041488445
cbbd931f3804e07c63e63be916fa679d,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,,,0.7404335963
