seqid,source,type,start,end,score,strand,phase,attributes,Bd_1_20,Bd_1_29,Bd_2_20,Bd_2_29,Bd_4_20,Bd_4_29,Bd_5_20,Bd_5_29
NODE_100_length_12694_cov_147.724102,KBase,gene,-225,253,.,-,0,ID=AcalSPAdes.Assembly_NODE_100_length_12694_cov_147.724102_2; product=type IV pilus assembly protein PilA; ko=KO:K02650,0,0,0,0,0,0,0,0
NODE_100_length_12694_cov_147.724102,KBase,gene,-157,3,.,-,0,ID=AcalSPAdes.Assembly_NODE_100_length_12694_cov_147.724102_1; product=,0,0,0,0,0,0,0,0
NODE_100_length_12694_cov_147.724102,KBase,gene,523,1082,.,-,0,ID=AcalSPAdes.Assembly_NODE_100_length_12694_cov_147.724102_3; product=,0,0,0,0,0,0,0,0
NODE_100_length_12694_cov_147.724102,KBase,gene,555,1636,.,-,0,ID=AcalSPAdes.Assembly_NODE_100_length_12694_cov_147.724102_4; product=uncharacterized protein; ko=KO:K06872,0,0,0,0,0,0,0,0
NODE_100_length_12694_cov_147.724102,KBase,gene,1532,6012,.,-,0,ID=AcalSPAdes.Assembly_NODE_100_length_12694_cov_147.724102_8; product=glutamate synthase %28NADPH%29 large chain %5BEC:1.4.1.13%5D; ko=KO:K00265,0,0,0,4,2,0,2,0
NODE_100_length_12694_cov_147.724102,KBase,gene,2154,2743,.,-,0,ID=AcalSPAdes.Assembly_NODE_100_length_12694_cov_147.724102_5; product=LemA protein; ko=KO:K03744,0,0,0,0,0,0,0,0
NODE_100_length_12694_cov_147.724102,KBase,gene,2576,3462,.,-,0,ID=AcalSPAdes.Assembly_NODE_100_length_12694_cov_147.724102_6; product=uncharacterized protein; ko=KO:K07044,0,0,0,0,0,0,0,0
NODE_100_length_12694_cov_147.724102,KBase,gene,3101,4521,.,-,0,ID=AcalSPAdes.Assembly_NODE_100_length_12694_cov_147.724102_7; product=glutamate synthase %28NADPH%29 small chain %5BEC:1.4.1.13%5D; ko=KO:K00266,0,0,0,0,0,0,0,0
NODE_100_length_12694_cov_147.724102,KBase,gene,10069,10949,.,-,0,ID=AcalSPAdes.Assembly_NODE_100_length_12694_cov_147.724102_9; product=,0,0,0,0,0,0,1,0
NODE_100_length_12694_cov_147.724102,KBase,gene,11003,11847,.,-,0,ID=AcalSPAdes.Assembly_NODE_100_length_12694_cov_147.724102_10; product=3-dehydroquinate synthase %5BEC:4.2.3.4%5D; ko=KO:K01735,0,0,0,2,0,0,2,0
NODE_101_length_12582_cov_143.314914,KBase,gene,-969,49,.,-,0,ID=AcalSPAdes.Assembly_NODE_101_length_12582_cov_143.314914_1; product=,0,0,0,0,0,0,0,0
NODE_101_length_12582_cov_143.314914,KBase,gene,1050,1360,.,-,0,ID=AcalSPAdes.Assembly_NODE_101_length_12582_cov_143.314914_2; product=,0,0,0,0,0,0,0,0
NODE_101_length_12582_cov_143.314914,KBase,gene,1823,2502,.,+,0,ID=AcalSPAdes.Assembly_NODE_101_length_12582_cov_143.314914_3; product=two-component system%2C OmpR family%2C copper resistance phosphate regulon response regulator CusR; ko=KO:K07665,0,0,0,0,0,0,0,0
NODE_101_length_12582_cov_143.314914,KBase,gene,2496,3871,.,+,0,ID=AcalSPAdes.Assembly_NODE_101_length_12582_cov_143.314914_4; product=two-component system%2C OmpR family%2C heavy metal sensor histidine kinase CusS %5BEC:2.7.13.3%5D; ko=KO:K07644,0,0,0,0,0,0,0,0
NODE_101_length_12582_cov_143.314914,KBase,gene,4126,4496,.,+,0,ID=AcalSPAdes.Assembly_NODE_101_length_12582_cov_143.314914_5; product=copper resistance protein C; ko=KO:K07156,0,0,0,0,0,0,0,0
NODE_101_length_12582_cov_143.314914,KBase,gene,4568,5448,.,+,0,ID=AcalSPAdes.Assembly_NODE_101_length_12582_cov_143.314914_6; product=,0,2,0,0,0,0,0,0
NODE_101_length_12582_cov_143.314914,KBase,gene,5962,6791,.,+,0,ID=AcalSPAdes.Assembly_NODE_101_length_12582_cov_143.314914_7; product=,0,0,0,0,0,0,4,0
NODE_101_length_12582_cov_143.314914,KBase,gene,6865,7481,.,+,0,ID=AcalSPAdes.Assembly_NODE_101_length_12582_cov_143.314914_8; product=homoserine/homoserine lactone efflux protein; ko=KO:K05834,0,0,0,0,0,0,0,0
NODE_101_length_12582_cov_143.314914,KBase,gene,7081,7637,.,-,0,ID=AcalSPAdes.Assembly_NODE_101_length_12582_cov_143.314914_9; product=chorismate mutase %5BEC:5.4.99.5%5D; ko=KO:K04093,0,0,0,0,0,0,0,0
NODE_101_length_12582_cov_143.314914,KBase,gene,7590,8272,.,-,0,ID=AcalSPAdes.Assembly_NODE_101_length_12582_cov_143.314914_10; product=,0,0,0,0,0,0,0,0
NODE_101_length_12582_cov_143.314914,KBase,gene,8205,8965,.,-,0,ID=AcalSPAdes.Assembly_NODE_101_length_12582_cov_143.314914_11; product=,0,0,0,0,0,0,0,0
NODE_101_length_12582_cov_143.314914,KBase,gene,9049,9734,.,-,0,ID=AcalSPAdes.Assembly_NODE_101_length_12582_cov_143.314914_12; product=glutathione S-transferase %5BEC:2.5.1.18%5D; ko=KO:K00799,0,0,0,0,0,0,0,0
NODE_101_length_12582_cov_143.314914,KBase,gene,9634,10652,.,-,0,ID=AcalSPAdes.Assembly_NODE_101_length_12582_cov_143.314914_13; product=,0,0,0,0,0,0,0,0
NODE_101_length_12582_cov_143.314914,KBase,gene,10743,11662,.,-,0,ID=AcalSPAdes.Assembly_NODE_101_length_12582_cov_143.314914_14; product=,0,0,0,0,4,0,0,0
NODE_102_length_12180_cov_197.162935,KBase,gene,1,602,.,+,0,ID=AcalSPAdes.Assembly_NODE_102_length_12180_cov_197.162935_1; product=,0,0,0,0,0,0,1,1
NODE_102_length_12180_cov_197.162935,KBase,gene,691,1166,.,+,0,ID=AcalSPAdes.Assembly_NODE_102_length_12180_cov_197.162935_2; product=transcription elongation factor GreA; ko=KO:K03624,0,0,0,0,0,0,1,0
NODE_102_length_12180_cov_197.162935,KBase,gene,1193,1872,.,+,0,ID=AcalSPAdes.Assembly_NODE_102_length_12180_cov_197.162935_3; product=chloramphenicol O-acetyltransferase type B %5BEC:2.3.1.28%5D; ko=KO:K00638,0,0,0,0,0,0,0,0
NODE_102_length_12180_cov_197.162935,KBase,gene,1916,3645,.,-,0,ID=AcalSPAdes.Assembly_NODE_102_length_12180_cov_197.162935_7; product=,0,0,0,0,0,0,0,0
NODE_102_length_12180_cov_197.162935,KBase,gene,1997,2433,.,+,0,ID=AcalSPAdes.Assembly_NODE_102_length_12180_cov_197.162935_4; product=uncharacterized protein; ko=KO:K07090,0,0,0,0,0,0,0,0
NODE_102_length_12180_cov_197.162935,KBase,gene,2163,7171,.,-,0,ID=AcalSPAdes.Assembly_NODE_102_length_12180_cov_197.162935_9; product=,0,0,0,0,0,0,0,0
NODE_102_length_12180_cov_197.162935,KBase,gene,2180,2508,.,-,0,ID=AcalSPAdes.Assembly_NODE_102_length_12180_cov_197.162935_5; product=methylated-DNA-protein-cysteine methyltransferase related protein; ko=KO:K07443,0,0,0,0,0,0,0,0
NODE_102_length_12180_cov_197.162935,KBase,gene,2919,3637,.,+,0,ID=AcalSPAdes.Assembly_NODE_102_length_12180_cov_197.162935_6; product=,0,0,0,0,0,0,0,0
NODE_102_length_12180_cov_197.162935,KBase,gene,3718,5372,.,-,0,ID=AcalSPAdes.Assembly_NODE_102_length_12180_cov_197.162935_8; product=,0,0,0,0,0,0,0,0
NODE_103_length_12171_cov_147.088804,KBase,gene,28,845,.,-,0,ID=AcalSPAdes.Assembly_NODE_103_length_12171_cov_147.088804_2; product=,0,0,0,0,0,0,0,0
NODE_103_length_12171_cov_147.088804,KBase,gene,186,784,.,+,0,ID=AcalSPAdes.Assembly_NODE_103_length_12171_cov_147.088804_1; product=glutathione S-transferase %5BEC:2.5.1.18%5D; ko=KO:K00799,0,0,0,0,0,0,0,0
NODE_103_length_12171_cov_147.088804,KBase,gene,2194,3671,.,+,0,ID=AcalSPAdes.Assembly_NODE_103_length_12171_cov_147.088804_3; product=neurotransmitter:Na%2B symporter%2C NSS family; ko=KO:K03308,0,0,0,0,0,0,0,0
NODE_103_length_12171_cov_147.088804,KBase,gene,2567,3870,.,-,0,ID=AcalSPAdes.Assembly_NODE_103_length_12171_cov_147.088804_5; product=16S rRNA %28cytosine967-C5%29-methyltransferase %5BEC:2.1.1.176%5D; ko=KO:K03500,0,0,0,0,0,0,0,0
NODE_103_length_12171_cov_147.088804,KBase,gene,3685,3827,.,+,0,ID=AcalSPAdes.Assembly_NODE_103_length_12171_cov_147.088804_4; product=,0,0,0,0,0,0,0,0
NODE_103_length_12171_cov_147.088804,KBase,gene,4210,5171,.,-,0,ID=AcalSPAdes.Assembly_NODE_103_length_12171_cov_147.088804_6; product=methionyl-tRNA formyltransferase %5BEC:2.1.2.9%5D; ko=KO:K00604,0,0,0,0,0,0,2,0
